"Committee","MTG #","Date","Start Time","End Time","Location"
"Budget Committee","14","2011-09-13","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","15","2011-10-18","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","16","2011-11-10","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","17","2011-11-28","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","18","2011-12-02","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","18","2011-12-05","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","18","2011-12-06","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","19","2011-12-07","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","19","2011-12-08","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","20","2011-12-09","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","20","2011-12-13","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","21","2012-01-09","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","22","2012-02-23","03:00 PM","10:00 PM","Committee Room 2, City Hall"
"Budget Committee","23","2012-03-27","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Budget Committee","24","2012-04-27","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","25","2012-05-07","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Budget Committee","26","2012-05-29","02:00 PM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","27","2012-08-23","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Budget Committee","28","2012-09-24","09:30 AM","12:30 PM","Committee Room 1, City Hall"
"Budget Committee","29","2012-10-18","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Budget Committee","30","2012-11-07","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","31","2012-11-12","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","32","2012-11-26","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","33","2012-11-29","12:45 PM","01:45 PM","Committee Room 1, City Hall"
"Budget Committee","34","2012-12-03","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Budget Committee","34","2012-12-04","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","34","2012-12-05","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","34","2012-12-06","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","35","2012-12-10","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","35","2012-12-11","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","36","2012-12-12","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","36","2012-12-17","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","37","2013-01-08","10:00 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","38","2013-01-18","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","39","2013-03-28","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","40","2013-05-01","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","41","2013-06-06","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","42","2013-06-11","01:00 PM","01:30 PM","Committee Room 1, City Hall"
"Budget Committee","43","2013-09-03","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","44","2013-10-02","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","45","2013-11-01","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","46","2013-11-06","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Budget Committee","47","2013-11-12","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","48","2013-11-25","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","49","2013-12-02","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","49","2013-12-03","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","50","2013-12-10","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","50","2013-12-11","09:30 AM","06:00 PM","Location to be determined"
"Budget Committee","50","2013-12-12","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","50","2013-12-13","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","51","2013-12-20","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Committee","52","2014-01-08","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Budget Sub-Committee for Etobicoke York, and Toronto and East York Consultation","1","2011-01-19","06:00 PM","10:00 PM","Council Chamber, East York Civic Centre"
"Budget Sub-Committee for Etobicoke York, and Toronto and East York Consultation","2","2011-01-20","06:00 PM","10:00 PM","Council Chamber, York Civic Centre"
"Budget Sub-Committee for Scarborough and North York Consultation","1","2011-01-19","06:00 PM","10:00 PM","Council Chamber, North York Civic Centre"
"Budget Sub-Committee for Scarborough and North York Consultation","2","2011-01-20","06:00 PM","10:00 PM","Council Chamber, Scarborough Civic Centre"
"CDR Core Service Review Subcommittee","1","2011-09-12","07:00 PM","09:00 PM","Rotunda, Scarborough Civic Centre"
"CDR Core Service Review Subcommittee","2","2011-09-13","07:00 PM","09:00 PM","Council Chamber, York Civic Centre"
"City Council","1","2010-12-07","02:00 PM","05:00 PM","Council Chamber, City Hall"
"City Council","1","2010-12-08","02:00 PM","05:00 PM","Council Chamber, City Hall"
"City Council","2","2010-12-16","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","3","2011-02-07","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","3","2011-02-08","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","4","2011-02-23","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","4","2011-02-24","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","5","2011-03-08","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","5","2011-03-09","02:00 PM","10:00 PM","Council Chamber, City Hall"
"City Council","6","2011-03-09","05:30 PM","10:00 PM","Council Chamber, City Hall"
"City Council","7","2011-04-12","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","7","2011-04-13","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","8","2011-05-17","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","8","2011-05-18","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","8","2011-05-19","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","9","2011-06-14","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","9","2011-06-15","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","10","2011-07-12","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","10","2011-07-13","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","10","2011-07-14","09:30 AM","05:00 PM","Council Chamber, City Hall"
"City Council","11","2011-09-21","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","11","2011-09-22","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","12","2011-09-26","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","12","2011-09-27","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","13","2011-10-24","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","13","2011-10-25","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","14","2011-11-29","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","14","2011-11-30","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","14","2011-12-01","09:30 AM","10:00 PM","Council Chamber, City Hall"
"City Council","15","2012-01-17","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","16","2012-02-06","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","16","2012-02-07","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","17","2012-02-08","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","18","2012-02-15","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","19","2012-03-05","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","19","2012-03-06","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","19","2012-03-07","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","20","2012-03-21","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","20","2012-03-22","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","21","2012-04-02","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","22","2012-04-10","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","22","2012-04-11","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","23","2012-05-08","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","23","2012-05-09","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","24","2012-06-06","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","24","2012-06-07","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","24","2012-06-08","09:30 AM","07:30 PM","Council Chamber, City Hall"
"City Council","25","2012-07-11","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","25","2012-07-12","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","25","2012-07-13","09:30 AM","07:30 PM","Council Chamber, City Hall"
"City Council","26","2012-10-02","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","26","2012-10-03","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","26","2012-10-04","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","27","2012-10-30","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","27","2012-10-31","09:30 AM","04:30 PM","Council Chamber, City Hall"
"City Council","27","2012-11-01","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","28","2012-11-27","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","28","2012-11-28","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","28","2012-11-29","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","29","2013-01-15","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","29","2013-01-16","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","30","2013-02-20","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","30","2013-02-21","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","31","2013-03-21","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","32","2013-04-03","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","32","2013-04-04","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","33","2013-05-07","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","33","2013-05-08","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","33","2013-05-09","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","33","2013-05-10","09:30 AM","07:30 PM","Council Chamber, City Hall"
"City Council","34","2013-05-21","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","35","2013-05-21","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","36","2013-06-11","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","36","2013-06-12","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","36","2013-06-13","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","37","2013-07-16","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","37","2013-07-17","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","37","2013-07-18","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","37","2013-07-19","09:30 AM","07:30 PM","Council Chamber, City Hall"
"City Council","38","2013-08-26","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","39","2013-10-08","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","39","2013-10-09","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","40","2013-11-13","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","40","2013-11-14","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","41","2013-12-16","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","41","2013-12-17","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","42","2014-01-29","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","42","2014-01-30","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","43","2014-02-19","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","43","2014-02-20","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","44","2014-03-20","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","45","2014-04-01","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","45","2014-04-02","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","46","2014-05-06","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","46","2014-05-07","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","47","2014-06-10","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","47","2014-06-11","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","48","2014-07-08","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","48","2014-07-09","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","49","2014-08-27","09:30 AM","08:00 PM","Council Chamber, City Hall"
"City Council","49","2014-08-28","09:30 AM","08:00 PM","Council Chamber, City Hall"
"Civic Appointments Committee","1","2011-04-18","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Civic Appointments Committee","2","2011-06-10","09:30 AM","12:30 PM","Committee Room 4, City Hall"
"Civic Appointments Committee","3","2011-07-18","09:30 AM","07:00 PM","Committee Room 4, City Hall"
"Civic Appointments Committee","4","2011-07-22","01:30 PM","07:00 PM","Committee Room 1, City Hall"
"Civic Appointments Committee","5","2011-07-27","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee","6","2011-08-02","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee","7","2011-08-03","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee","8","2011-08-04","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee","9","2011-09-01","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee","10","2011-09-16","09:30 AM","07:00 PM","Committee Room 4, City Hall"
"Civic Appointments Committee","11","2011-10-06","09:30 AM","07:00 PM","Committee Room 4, City Hall"
"Civic Appointments Committee","12","2011-10-18","02:00 PM","10:00 PM","Committee Room 2, City Hall"
"Civic Appointments Committee","13","2011-11-16","02:00 PM","04:30 PM","Committee Room 1, City Hall"
"Civic Appointments Committee","14","2012-01-16","10:00 AM","10:00 PM","Committee Room 2, City Hall"
"Civic Appointments Committee","15","2012-02-24","09:30 AM","04:30 PM","Committee Room 1, City Hall"
"Civic Appointments Committee","16","2012-05-29","01:30 PM","06:00 PM","Committee Room 2, City Hall"
"Civic Appointments Committee","17","2012-06-25","10:00 AM","11:30 AM","Committee Room 4, City Hall"
"Civic Appointments Committee","18","2012-09-12","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Civic Appointments Committee","19","2012-10-11","09:30 AM","06:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee","20","2013-02-11","09:30 AM","11:00 AM","Committee Room 3, City Hall"
"Civic Appointments Committee","21","2013-04-19","09:30 AM","06:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee","22","2013-06-05","09:30 AM","12:30 PM","Committee Room 4, City Hall"
"Civic Appointments Committee","23","2013-06-28","09:30 AM","06:00 PM","Committee Room 4, City Hall"
"Civic Appointments Committee Panel 1","1","2011-08-05","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 1","2","2011-08-08","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 1","3","2011-08-10","09:30 AM","07:00 PM","Committee Room 1, City Hall"
"Civic Appointments Committee Panel 2","1","2011-09-06","05:00 PM","10:00 PM","Committee Room 2, City Hall"
"Civic Appointments Committee Panel 2","2","2011-09-07","08:30 AM","07:00 PM","Committee Room 2, City Hall"
"Civic Appointments Committee Panel 2","3","2011-09-08","08:45 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 2","4","2011-10-19","09:30 AM","04:30 PM","Committee Room 4, City Hall"
"Civic Appointments Committee Panel 2","5","2012-01-27","01:00 PM","04:30 PM","Committee Room 4, City Hall"
"Civic Appointments Committee Panel 3","1","2011-08-08","09:30 AM","07:00 PM","Committee Room 4, City Hall"
"Civic Appointments Committee Panel 3","2","2011-08-09","09:30 AM","07:00 PM","Committee Room 4, City Hall"
"Civic Appointments Committee Panel 3","3","2011-08-10","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 3","3","2011-08-11","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 3","4","2011-08-12","09:30 AM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 3","5","2011-09-08","02:00 PM","04:00 PM","Committee Room 4, City Hall"
"Civic Appointments Committee Panel 3","6","2012-05-01","02:00 PM","10:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 4","1","2011-10-05","09:30 AM","12:30 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 5","1","2011-10-05","01:30 PM","07:00 PM","Committee Room 4, City Hall"
"Civic Appointments Committee Panel 6","1","2011-10-05","09:30 AM","12:30 PM","Committee Room 4, City Hall"
"Civic Appointments Committee Panel 6","1","2011-10-17","04:00 PM","10:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 7","1","2011-10-05","02:00 PM","07:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 8","1","2012-01-13","10:00 AM","10:00 PM","Committee Room 3, City Hall"
"Civic Appointments Committee Panel 8","2","2012-05-17","10:00 AM","10:00 PM","Committee Room 3, City Hall"
"Community Development and Recreation Committee","1","2011-01-21","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","2","2011-03-25","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","3","2011-04-28","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","4","2011-05-27","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","5","2011-06-29","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","6","2011-07-20","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","7","2011-09-14","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","8","2011-11-04","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","9","2012-01-11","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","10","2012-02-22","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","11","2012-03-27","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","12","2012-04-24","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","13","2012-05-23","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","14","2012-06-26","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","15","2012-09-19","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","16","2012-10-17","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","17","2012-11-14","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","18","2013-01-31","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","19","2013-03-18","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","20","2013-04-17","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","21","2013-05-23","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","22","2013-06-26","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","23","2013-09-18","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","24","2013-10-28","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","25","2013-12-04","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","26","2014-01-21","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","27","2014-03-17","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","28","2014-04-17","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","29","2014-05-22","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","30","2014-06-25","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Development and Recreation Committee","31","2014-08-20","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Community Partnership and Investment Program Appeals Committee","1","2011-09-15","09:30 AM","10:00 PM","Committee Room 4, City Hall"
"Community Partnership and Investment Program Appeals Committee","2","2012-06-11","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Compliance Audit Committee","1","2011-03-28","01:30 PM","10:00 PM","Committee Room 2, City Hall"
"Compliance Audit Committee","2","2011-05-06","09:30 AM","12:30 PM","Committee Room 4, City Hall"
"Compliance Audit Committee","3","2011-05-13","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Compliance Audit Committee","4","2011-06-06","02:00 PM","05:00 PM","Committee Room 1, City Hall"
"Compliance Audit Committee","5","2011-07-18","09:30 AM","10:00 PM","Committee Room 3, City Hall"
"Compliance Audit Committee","6","2011-07-20","09:30 AM","10:00 PM","Committee Room 3, City Hall"
"Compliance Audit Committee","7","2011-10-17","09:30 AM","12:00 PM","Committee Room 1, City Hall"
"Compliance Audit Committee","8","2011-11-29","01:00 PM","10:00 PM","Committee Room 1, City Hall"
"Compliance Audit Committee","9","2012-01-20","01:00 PM","04:00 PM","Committee Room 1, City Hall"
"Compliance Audit Committee","9","2012-01-27","02:00 PM","04:00 PM","Committee Room 2, City Hall"
"Compliance Audit Committee","10","2012-06-08","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Compliance Audit Committee","11","2012-09-11","02:00 PM","06:00 PM","Committee Room 2, City Hall"
"Compliance Audit Committee","12","2013-02-04","01:30 PM","09:00 PM","Committee Room 2, City Hall"
"Compliance Audit Committee","13","2013-02-25","02:00 PM","08:00 PM","Committee Room 1, City Hall"
"Compliance Audit Committee","14","2013-07-30","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Compliance Audit Committee","14","2013-08-09","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Debenture Committee","1","2011-03-01","09:30 AM","10:30 AM","Committee Room 2, City Hall"
"Debenture Committee","2","2011-06-07","02:00 PM","05:00 PM","Committee Room 3, City Hall"
"Debenture Committee","3","2011-12-02","08:00 AM","10:00 PM","Committee Room 3, City Hall"
"Debenture Committee","4","2012-01-25","08:30 AM","10:00 PM","Committee Room 4, City Hall"
"Debenture Committee","5","2012-05-14","09:15 AM","10:00 AM","Committee Room 4, City Hall"
"Debenture Committee","6","2012-12-11","08:30 AM","06:00 PM","Committee Room 4, City Hall"
"Disability Issues Committee","1","2012-02-21","09:30 AM","10:00 PM","Council Chamber, City Hall"
"Disability Issues Committee","2","2012-05-29","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Disability Issues Committee","3","2012-09-18","09:30 AM","10:00 PM","Council Chamber, City Hall"
"Disability Issues Committee","4","2012-12-03","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Disability Issues Committee","5","2013-02-14","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Disability Issues Committee","6","2013-06-14","09:30 AM","06:00 PM","Committee Room 2, City Hall"
"Disability Issues Committee","7","2013-09-26","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Disability Issues Committee","8","2013-12-11","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","1","2011-01-28","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","2","2011-03-31","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","3","2011-05-04","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","4","2011-06-02","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","5","2011-06-30","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","6","2011-07-19","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","7","2011-09-14","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Economic Development Committee","8","2011-10-07","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","9","2011-11-15","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","10","2012-01-26","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","11","2012-02-21","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","12","2012-03-26","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","13","2012-04-23","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","14","2012-05-22","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","15","2012-06-20","01:30 PM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","16","2012-09-18","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","17","2012-10-16","01:30 PM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","18","2012-11-08","09:30 AM","10:00 PM","Committee Room 2, City Hall"
"Economic Development Committee","19","2013-01-30","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","20","2013-03-05","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","21","2013-04-22","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","22","2013-05-22","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","23","2013-06-25","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","24","2013-09-17","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","25","2013-10-24","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","26","2013-11-22","09:30 AM","10:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","27","2014-01-20","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","28","2014-02-26","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","29","2014-04-16","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","30","2014-05-21","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","31","2014-06-24","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Economic Development Committee","32","2014-08-19","09:30 AM","06:00 PM","Committee Room 1, City Hall"
"Employee and Labour Relations Committee","1","2011-02-01","10:00 AM","10:00 PM","Committee Room 1, City Hall"
"Employee and Labour Relations Committee","2","2011-09-16","01:00 PM","10:00 PM","Committee Room 1, City Hall"
